                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1565,                 0.7471,                0.96948,                0.81533,                0.47235,                0.51066,                0.49623,                 0.3277,                0.35481,                0.43149,                0.42805,                0.23441,                 1.2691,                 1.0312,                 2.4263,                 1.5866,              0.0012162,              0.0012162,              0.0012162
                     84,                 1.1109,                0.68964,                 0.9334,                0.80731,                0.45647,                0.46467,                0.46449,                 0.3296,                0.34224,                0.43955,                0.43933,                0.22532,                 1.2346,                0.94136,                 2.3342,                  1.581,              0.0012158,              0.0012158,              0.0012158
                     85,                 1.1713,                0.73428,                 1.0053,                0.82376,                0.45647,                0.46467,                0.46449,                 0.3296,                0.34224,                0.43955,                0.43933,                0.22532,                 1.2346,                0.94136,                 2.3342,                  1.581,              0.0012154,              0.0012154,              0.0012154
                     86,                 1.1324,                0.68128,                0.89516,                0.84887,                0.49728,                 0.5373,                 0.5568,                0.33107,                0.38286,                 0.4626,                0.44779,                0.23701,                 1.1983,                 0.9416,                 2.0463,                   1.54,              0.0012149,              0.0012149,              0.0012149
                     87,                 1.1889,                0.87519,                 1.0087,                0.81325,                0.49204,                0.53127,                 0.5119,                0.31036,                 0.3749,                0.45027,                0.40504,                0.20364,                 1.1867,                0.93992,                 1.9953,                 1.5093,              0.0012145,              0.0012145,              0.0012145
                     88,                 1.1479,                0.69751,                0.96073,                0.79067,                0.49204,                0.53127,                 0.5119,                0.31036,                 0.3749,                0.45027,                0.40504,                0.20364,                 1.1867,                0.93992,                 1.9953,                 1.5093,              0.0012141,              0.0012141,              0.0012141
                     89,                 1.0884,                0.68443,                0.94754,                0.81624,                0.46904,                0.52313,                0.49702,                0.27794,                 0.3469,                0.43352,                0.37051,                0.16475,                 1.1578,                 1.0506,                 2.0401,                 1.4831,              0.0012137,              0.0012137,              0.0012137
                     90,                 1.1581,                0.90731,                 0.9704,                0.81209,                  0.432,                0.55848,                0.51996,                 0.2862,                0.33294,                0.40689,                0.37168,                 0.1708,                 1.2254,                 1.0209,                 1.7188,                 1.4363,              0.0012133,              0.0012133,              0.0012133
                     91,                 1.1472,                0.73358,                0.92294,                0.86237,                  0.432,                0.55848,                0.51996,                 0.2862,                0.33294,                0.40689,                0.37168,                 0.1708,                 1.2254,                 1.0209,                 1.7188,                 1.4363,              0.0012129,              0.0012129,              0.0012129
                     92,                  1.108,                0.76287,                0.92805,                0.80285,                0.46518,                0.57356,                0.53659,                0.29493,                0.34987,                0.48002,                0.40984,                0.18741,                 1.1844,                0.88077,                 1.7172,                 1.3659,              0.0012125,              0.0012125,              0.0012125
                     93,                 1.0487,                0.75191,                0.87738,                 0.8218,                0.46884,                0.55556,                0.53361,                0.33138,                0.34944,                0.47187,                0.41589,                0.20848,                 1.1729,                0.97649,                 1.5273,                 1.3008,              0.0012121,              0.0012121,              0.0012121
